address,size,price,garage,bedroom,bathroom,url
"Rua Doutor Raul Carneiro Filho - Água Verde, Curitiba - PR",106,R$ 476.000,1 Vaga,2 Quartos,2 Banheiros,https://www.vivareal.com.br/imovel/apartamento-2-quartos-agua-verde-bairros-curitiba-com-garagem-106m2-venda-RS476000-id-2496689287/
"Rua Santa Catarina - Água Verde, Curitiba - PR",32,R$ 169.000,-- Vaga,1 Quarto,1 Banheiro,https://www.vivareal.com.br/imovel/apartamento-1-quartos-agua-verde-bairros-curitiba-32m2-venda-RS169000-id-2502838475/
"Rua Evaristo da Veiga, 2910 - Xaxim, Curitiba - PR",65,R$ 200.000,1 Vaga,3 Quartos,2 Banheiros,https://www.vivareal.com.br/imovel/apartamento-3-quartos-xaxim-bairros-curitiba-com-garagem-65m2-venda-RS200000-id-2499592699/
"Rua Satyrio Ferreira da Costa, 101 - Alto Boqueirão, Curitiba - PR",48,R$ 160.000,1 Vaga,2 Quartos,1 Banheiro,https://www.vivareal.com.br/imovel/apartamento-2-quartos-alto-boqueirao-bairros-curitiba-com-garagem-48m2-venda-RS160000-id-2501223635/
"Rua Natal Cecone - Ecoville, Curitiba - PR",135,R$ 948.000,2 Vagas,3 Quartos,4 Banheiros,https://www.vivareal.com.br/imovel/apartamento-3-quartos-ecoville-bairros-curitiba-com-garagem-135m2-venda-RS948000-id-2487119633/
"Rua José Serrato, 454 - Santa Cândida, Curitiba - PR",52,R$ 153.000,1 Vaga,2 Quartos,1 Banheiro,https://www.vivareal.com.br/imovel/apartamento-2-quartos-santa-candida-bairros-curitiba-com-garagem-52m2-venda-RS153000-id-2479391281/
"Rua Tijucas do Sul, 2057 - Sitio Cercado Bairro Novo B, Curitiba - PR",48,R$ 165.000,1 Vaga,2 Quartos,1 Banheiro,https://www.vivareal.com.br/imovel/apartamento-2-quartos-sitio-cercado-bairro-novo-b-bairros-curitiba-com-garagem-48m2-venda-RS165000-id-2507825183/
"Rua Floriano Essenfelder, 427 - Alto da Glória, Curitiba - PR",107,R$ 420.000,2 Vagas,3 Quartos,3 Banheiros,https://www.vivareal.com.br/imovel/apartamento-3-quartos-alto-da-gloria-bairros-curitiba-com-garagem-107m2-venda-RS420000-id-2503305181/
"Rua Marechal Octávio Saldanha Mazza, 7584 - Capão Raso, Curitiba - PR",56,R$ 194.500,1 Vaga,2 Quartos,1 Banheiro,https://www.vivareal.com.br/imovel/apartamento-2-quartos-capao-raso-bairros-curitiba-com-garagem-56m2-venda-RS194500-id-2469215484/
"Rua Professor Guido Straube, 222 - Vila Izabel, Curitiba - PR",62,R$ 485.000,1 Vaga,2 Quartos,2 Banheiros,https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-izabel-bairros-curitiba-com-garagem-62m2-venda-RS485000-id-2503945389/
"Rua Engenheiro Niepce da Silva, 144 - Portão, Curitiba - PR",128,R$ 1.270.000,2 Vagas,3 Quartos,5 Banheiros,https://www.vivareal.com.br/imovel/apartamento-3-quartos-portao-bairros-curitiba-com-garagem-128m2-venda-RS1270000-id-2493769819/
"Travessa Lange - Água Verde, Curitiba - PR",109,R$ 580.000,1 Vaga,3 Quartos,3 Banheiros,https://www.vivareal.com.br/imovel/apartamento-3-quartos-agua-verde-bairros-curitiba-com-garagem-109m2-venda-RS580000-id-2427786525/
"Rua Engenheiro Niepce da Silva, 144 - Portão, Curitiba - PR",128,R$ 1.270.000,2 Vagas,3 Quartos,5 Banheiros,https://www.vivareal.com.br/imovel/apartamento-3-quartos-portao-bairros-curitiba-com-garagem-128m2-venda-RS1270000-id-2493769819/
"Rua Schiller, 252 - Cristo Rei, Curitiba - PR",41-84,R$ 377.000,1-2 Vagas,1-3 Quartos,1-2 Banheiros,https://www.vivareal.com.br/imoveis-lancamento/unique-residence-9172/
"Travessa Lange - Água Verde, Curitiba - PR",109,R$ 580.000,1 Vaga,3 Quartos,3 Banheiros,https://www.vivareal.com.br/imovel/apartamento-3-quartos-agua-verde-bairros-curitiba-com-garagem-109m2-venda-RS580000-id-2427786525/
"Rua Bento Viana, 957 - Batel, Curitiba - PR",87,R$ 495.000,1 Vaga,2 Quartos,3 Banheiros,https://www.vivareal.com.br/imovel/apartamento-2-quartos-batel-bairros-curitiba-com-garagem-87m2-venda-RS495000-id-2506703076/
"Rua Riachuelo, 100 - Centro, Curitiba - PR",17,R$ 165.000,-- Vaga,1 Quarto,1 Banheiro,https://www.vivareal.com.br/imovel/apartamento-1-quartos-centro-bairros-curitiba-17m2-venda-RS165000-id-2501965308/
"Rua Padre Agostinho, 2715 - Bigorrilho, Curitiba - PR",56,R$ 390.000,1 Vaga,3 Quartos,1 Banheiro,https://www.vivareal.com.br/imovel/apartamento-3-quartos-bigorrilho-bairros-curitiba-com-garagem-56m2-venda-RS390000-id-2497942673/
"Rua Vinte e Nove de Junho, 267 - Bacacheri, Curitiba - PR",54,R$ 385.000,1 Vaga,2 Quartos,1 Banheiro,https://www.vivareal.com.br/imovel/apartamento-2-quartos-bacacheri-bairros-curitiba-com-garagem-54m2-venda-RS385000-id-2508980385/
"Rua Atílio Bório, 30 - Cristo Rei, Curitiba - PR",89,R$ 460.000,2 Vagas,3 Quartos,2 Banheiros,https://www.vivareal.com.br/imovel/apartamento-3-quartos-cristo-rei-bairros-curitiba-com-garagem-89m2-venda-RS460000-id-2484392268/
"Rua Visconde do Rio Branco, 243 - Mercês, Curitiba - PR",85,R$ 530.000,1-2 Vagas,2 Quartos,2 Banheiros,https://www.vivareal.com.br/imoveis-lancamento/solaris-8280/
"Rua Romédio Dorigo, 145 - Água Verde, Curitiba - PR",151,R$ 595.000,1 Vaga,3 Quartos,4 Banheiros,https://www.vivareal.com.br/imovel/apartamento-3-quartos-agua-verde-bairros-curitiba-com-garagem-151m2-venda-RS595000-id-2480878481/
"Rua Buenos Aires, 681 - Batel, Curitiba - PR",197,R$ 1.090.000,2 Vagas,4 Quartos,5 Banheiros,https://www.vivareal.com.br/imovel/apartamento-4-quartos-batel-bairros-curitiba-com-garagem-197m2-venda-RS1090000-id-2502157528/
"Rua Barão de Guaraúna - Alto da Glória, Curitiba - PR",100,R$ 750.000,1 Vaga,3 Quartos,2 Banheiros,https://www.vivareal.com.br/imovel/apartamento-3-quartos-alto-da-gloria-bairros-curitiba-com-garagem-100m2-venda-RS750000-id-2429961025/
"Rua Jovino do Rosário, 1790 - Boa Vista, Curitiba - PR",60,R$ 398.000,1 Vaga,2 Quartos,1 Banheiro,https://www.vivareal.com.br/imovel/apartamento-2-quartos-boa-vista-bairros-curitiba-com-garagem-60m2-venda-RS398000-id-2507858169/
"Rua Comendador Correia Júnior, 369 - Jardim das Américas, Curitiba - PR",250,R$ 890.000,3 Vagas,5 Quartos,5 Banheiros,https://www.vivareal.com.br/imovel/apartamento-5-quartos-jardim-das-americas-bairros-curitiba-com-garagem-250m2-venda-RS890000-id-2503225031/
"Rua Visconde do Serro Frio, 161 - Novo Mundo, Curitiba - PR",92,R$ 690.000,2 Vagas,3 Quartos,2 Banheiros,https://www.vivareal.com.br/imovel/apartamento-3-quartos-novo-mundo-bairros-curitiba-com-garagem-92m2-venda-RS690000-id-2508568092/
"Rua Nicolau Maeder, 648 - Juvevê, Curitiba - PR",24-46,"A partir de
R$ 220.869",-- Vaga,1-2 Quartos,1 Banheiro,https://www.vivareal.com.br/imoveis-lancamento/edificio-ilha-de-capri-10069/
"Rua Padre Germano Mayer, 131 - Cristo Rei, Curitiba - PR",195,R$ 950.000,2 Vagas,3 Quartos,4 Banheiros,https://www.vivareal.com.br/imovel/apartamento-3-quartos-cristo-rei-bairros-curitiba-com-garagem-195m2-venda-RS950000-id-2501087111/
"Rua Afonso Piotto, 99 - Cidade Industrial, Curitiba - PR",78,R$ 270.000,1 Vaga,3 Quartos,1 Banheiro,https://www.vivareal.com.br/imovel/apartamento-3-quartos-cidade-industrial-bairros-curitiba-com-garagem-78m2-venda-RS270000-id-2490155194/
"Rua Álvaro Andrade, 358 - Portão, Curitiba - PR",90,R$ 370.000,1 Vaga,3 Quartos,2 Banheiros,https://www.vivareal.com.br/imovel/apartamento-3-quartos-portao-bairros-curitiba-com-garagem-90m2-venda-RS370000-id-2495222408/
